address,zip,price,beds,baths,sqft,year_built,property_type,latitude,longitude
"350 S Miami Ave, Apt 511, Miami, FL 33130",33130,2875,1,1.5,820.0,2008.0,Condo,25.770558,-80.194158
"529 Sw 4th St, Miami, FL 33130",33130,2095,2,1.0,700.0,,Apartment,25.770144,-80.203102
"10 Sw S River Dr, Unit 603, Miami, FL 33130",33130,3900,3,2.0,1076.0,2003.0,Condo,25.773355,-80.202147
"104 Sw 9th St, Apt 1403, Miami, FL 33130",33130,3900,3,2.0,1050.0,1999.0,Condo,25.765054,-80.195919
"55 Sw 9th St, Apt 3307, Miami, FL 33130",33130,3250,1,1.0,541.0,2017.0,Condo,25.765666,-80.194209
"690 Sw 1st Ct, Apt 1434, Miami, FL 33130",33130,2450,0,1.0,602.0,2006.0,Condo,25.7679,-80.196227
"337 Sw 10th Ave, Apt 5, Miami, FL 33130",33130,1900,2,1.0,795.0,1930.0,Apartment,25.770009,-80.211118
"424 Sw 7th St, Apt 102, Miami, FL 33130",33130,2100,2,1.0,800.0,1973.0,Condo,25.766858,-80.20147
"1035 Sw 4th St, Apt 3, Miami, FL 33130",33130,1775,1,1.0,4244.0,1926.0,Apartment,25.769972,-80.212114
"60 Sw 13th St, Apt 3603, Miami, FL 33130",33130,3600,1,1.0,616.0,2008.0,Condo,25.761038,-80.194399
"690 Sw 1st Unit Phi Ct, Ph 24, Miami, FL 33130",33130,4400,2,2.0,1255.0,2006.0,Condo,25.7679,-80.196227
"801 S Miami Ave, Unit 3310, Miami, FL 33130",33130,7000,2,2.0,1253.0,2018.0,Condo,25.766082,-80.192908
"852 Sw 1st St, Apt 5, Miami, FL 33130",33130,1650,1,1.0,560.0,1969.0,Apartment,25.772382,-80.208748
"801 S Miami Ave, Unit 3704, Miami, FL 33130",33130,6900,3,3.0,1334.0,2018.0,Condo,25.766082,-80.192908
"79 Sw 12th St, Unit 2206S, Miami, FL 33130",33130,4500,2,2.0,1104.0,2008.0,Condo,25.762769,-80.194716
"777 Sw 9th Ave, Apt 301, Miami, FL 33130",33130,2800,3,2.0,1036.0,1987.0,Condo,25.766431,-80.208868
"690 Sw 1st Ct, Apt 2730, Miami, FL 33130",33130,2650,0,1.0,638.0,2006.0,Condo,25.7679,-80.196227
"55 Sw 9th St, Apt 4104, Miami, FL 33130",33130,4000,1,2.0,851.0,2017.0,Condo,25.765666,-80.194209
"79 Sw 12th St, Unit 2904S, Miami, FL 33130",33130,4000,2,2.0,1076.0,2008.0,Condo,25.762769,-80.194716
"79 Sw 12th St, Apt 2010, Miami, FL 33130",33130,4000,2,2.0,1119.0,2008.0,Condo,25.762769,-80.194716
"88 Sw 7th St, Apt 3003, Miami, FL 33130",33130,6100,2,2.0,1281.0,2016.0,Condo,25.767046,-80.194498
"1300 S Miami Ave, Unit 2807, Miami, FL 33130",33130,3650,1,1.0,570.0,2016.0,Condo,25.761221,-80.193659
"1100 S Miami Ave, Apt 2301, Miami, FL 33130",33130,4300,2,2.0,1167.0,2015.0,Condo,25.763221,-80.193663
"526 Sw 2nd St, Unit 2, Miami, FL 33130",33130,4000,3,3.0,1550.0,2025.0,Condo,25.771612,-80.20325
"92 Sw 3rd St, Apt 2706, Miami, FL 33130",33130,3600,2,2.0,930.0,2010.0,Condo,25.769557,-80.195198
"801 S Miami Ave, Unit 5309, Miami, FL 33130",33130,7800,3,3.0,1444.0,2018.0,Condo,25.766082,-80.192908
"1250 S Miami Ave, Apt 2604, Miami, FL 33130",33130,3600,2,2.0,1023.0,2004.0,Condo,25.762099,-80.193556
"801 S Miami Ave, Unit 2505, Miami, FL 33130",33130,6500,2,2.0,1152.0,2018.0,Condo,25.766082,-80.192908
"999 Sw 1st Ave, Apt 2204, Miami, FL 33130",33130,4700,2,2.0,1228.0,2015.0,Condo,25.7646,-80.19498
"185 Sw 7th St, Apt 1605, Miami, FL 33130",33130,3100,1,1.5,825.0,2007.0,Condo,25.76813,-80.197009
"1250 S Miami Ave, Apt 909, Miami, FL 33130",33130,2600,1,1.5,783.0,2004.0,Condo,25.762099,-80.193556
"1865 Brickell Ave, Apt A406, Miami, FL 33129",33129,3000,1,1.5,1064.0,1975.0,Condo,25.754149,-80.196305
"151 Se 15th Rd, Apt 2503, Miami, FL 33129",33129,5500,2,2.5,1634.0,1983.0,Condo,25.757908,-80.191944
"1650 Brickell Ave, Apt 206, Miami, FL 33129",33129,2850,1,1.5,750.0,2007.0,Condo,25.756369,-80.195864
"721 Sw 11th St, Unit F, Miami, FL 33129",33129,7900,3,3.0,2274.0,2025.0,Townhouse,25.763426,-80.2062
"721 Sw 11th St, Unit B, Miami, FL 33129",33129,6500,3,3.0,2186.0,2025.0,Townhouse,25.763426,-80.2062
"2333 Brickell Ave, Apt 1115, Miami, FL 33129",33129,4200,2,2.0,1100.0,1974.0,Condo,25.751358,-80.200249
"545 Sw 11th St, Apt 105, Miami, FL 33129",33129,5950,2,2.5,1474.0,2020.0,Condo,25.763516,-80.203166
